,cafe_names,cafe_places,cafe_ranks,cafe_adresses,cafe_images1,ca_images2
0,旧ヤム邸 空堀店, 谷町六丁目駅 264m / カフェ・喫茶(カフェ)、カレーライス、カレー（その他）            ,3.81,大阪府大阪市中央区谷町6-4-23 ,"['https://tblg.k-img.com/restaurant/images/Rvw/170741/320x320_square_2a434fda25bea0bf213cbeaa03712f0c.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/170741/320x320_square_c131d8de2a75c1917f922de9d2389595.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/20867/320x320_square_20867171.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/140287/150x150_square_140287827.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/140287/150x150_square_140287829.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/140287/150x150_square_140287830.jpg']"
1,ドゥブルベ・ボレロ 大阪本町店, 本町駅 354m / カフェ・喫茶(カフェ)、ケーキ、パン            ,3.80,大阪府大阪市中央区瓦町4-7-4 南星瓦町ビル 1F,"['https://tblg.k-img.com/restaurant/images/Rvw/161176/320x320_square_161176512.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/161176/320x320_square_161176553.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/161176/320x320_square_161176508.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/109378/150x150_square_109378962.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/127832/150x150_square_127832069.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/127832/150x150_square_127832062.jpg']"
2,パンデュース, 本町駅 380m / カフェ・喫茶(カフェ)、パン、サンドイッチ            ,3.79,大阪府大阪市中央区淡路町4-3-1 FOBOSビル 1F　,"['https://tblg.k-img.com/restaurant/images/Rvw/159551/320x320_square_159551904.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/159551/320x320_square_159551907.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/35548/320x320_square_35548305.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/150759/150x150_square_150759373.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/150759/150x150_square_150759353.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/150759/150x150_square_150759365.jpg']"
3,ブーランジェリー ブルディガラ 大阪店, 西梅田駅 205m / カフェ・喫茶(カフェ・喫茶（その他）)、パン、ケーキ            ,3.76,大阪府大阪市北区梅田2-5-25 ハービスプラザ  B2F,"['https://tblg.k-img.com/restaurant/images/Rvw/33396/320x320_square_33396200.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/33396/320x320_square_33396199.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/33396/320x320_square_33396134.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/46974/150x150_square_46974720.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/46974/150x150_square_46974718.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/46974/150x150_square_46974648.jpg']"
4,ジェラテリア チルコドーロ, 谷町六丁目駅 384m / カフェ・喫茶(カフェ・喫茶（その他）)、アイスクリーム            ,3.75,大阪府大阪市中央区谷町7丁目3-4 新谷町第三ビル114,"['https://tblg.k-img.com/restaurant/images/Rvw/128226/320x320_square_128226298.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/128226/320x320_square_128226307.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/648/320x320_square_648239.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/120675/150x150_square_120675458.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/120675/150x150_square_120675438.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/120675/150x150_square_120675311.jpg']"
5,エクチュア  からほり「蔵」本店 , 松屋町駅 66m / カフェ・喫茶(カフェ)、チョコレート、サンドイッチ            ,3.74,大阪府大阪市中央区谷町6-17-43 練,"['https://tblg.k-img.com/restaurant/images/Rvw/138347/320x320_square_138347225.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/138347/320x320_square_138347223.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/138347/320x320_square_138347221.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/146917/150x150_square_146917850.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/146917/150x150_square_146917844.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/146917/150x150_square_146917845.jpg']"
6,ショコラティエ パレ ド オール 大阪, 西梅田駅 84m / カフェ・喫茶(カフェ)、チョコレート、ケーキ            ,3.74,大阪府大阪市北区梅田2-2-22 ハービスPLAZA ENT  4F,"['https://tblg.k-img.com/restaurant/images/Rvw/143758/320x320_square_143758535.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/99384/320x320_square_99384259.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/99384/320x320_square_99384255.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/151038/150x150_square_151038586.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/151038/150x150_square_151038588.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/151038/150x150_square_151038589.jpg']"
7,サロン・ド・テ・アルション 法善寺本店, 大阪難波駅 264m / カフェ・喫茶(カフェ)、カフェ・喫茶(紅茶専門店)、ケーキ            ,3.72,大阪府大阪市中央区難波1-6-20 ,"['https://tblg.k-img.com/restaurant/images/Rvw/104350/320x320_square_104350202.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/104350/320x320_square_104350207.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/174639/320x320_square_c839f8a6e9e085c705323a46d8af6af0.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/132914/150x150_square_132914620.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/132914/150x150_square_132914619.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/132914/150x150_square_132914622.jpg']"
8,ル・ピノー 北堀江本店, 西大橋駅 326m / カフェ・喫茶(カフェ)、ケーキ            ,3.72,大阪府大阪市西区北堀江2-4-12 メゾンドエルキタホリエ　1Ｆ,"['https://tblg.k-img.com/restaurant/images/Rvw/169820/320x320_square_cc4bde284379c01fb6b410d57d86f22f.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/117696/320x320_square_117696219.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/169820/320x320_square_6dec0ae980ac3ffc680c76b5c26b2eb7.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/156472/150x150_square_156472308.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/156472/150x150_square_156472310.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/99512/150x150_square_99512863.jpg']"
9,カカオサンパカ 大丸梅田店, 大阪梅田（阪神）駅 93m / カフェ・喫茶(カフェ)、チョコレート、パフェ            ,3.72,大阪府大阪市北区梅田3-1-1 大丸梅田店  7F,"['https://tblg.k-img.com/restaurant/images/Rvw/117344/320x320_square_117344679.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/117344/320x320_square_117344678.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/117344/320x320_square_117344677.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/145364/150x150_square_145364070.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/145363/150x150_square_145363982.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/145364/150x150_square_145364163.jpg']"
